ACCNUM,ObjectId,INVTYPE,INVAGE,INJURY,VEHTYPE,MANOEUVER,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,HOUR,TIME,VISIBILITY,LIGHT,collision_lat,collision_long
1290049,7709,Driver,50 to 54,None,"Automobile, Station Wagon",Turning Right,1,0,1,0,0,0,0,0,0,1,0,0,0,19,1910,Clear,Dark,-79.3574,43.8119
1290049,7710,Pedestrian,25 to 29,Major,Other,NULL,1,0,1,0,0,0,0,0,0,1,0,0,0,19,1910,Clear,Dark,-79.3574,43.8119
1290199,8971,Driver,20 to 24,None,"Automobile, Station Wagon",Going Ahead,1,0,1,0,0,0,0,0,0,0,0,0,0,21,2050,Clear,"Dark, artificial",-79.199,43.8002
1290199,8972,Pedestrian,55 to 59,Fatal,Other,NULL,1,0,1,0,0,0,0,0,0,0,0,0,0,21,2050,Clear,"Dark, artificial",-79.199,43.8002
1291646,7738,Driver,40 to 44,Major,"Automobile, Station Wagon",Going Ahead,1,0,1,0,0,0,0,0,0,0,0,0,0,15,1515,Clear,Daylight,-79.385,43.6489
1291646,7739,Pedestrian,60 to 64,Minor,Other,NULL,1,0,1,0,0,0,0,0,0,0,0,0,0,15,1515,Clear,Daylight,-79.385,43.6489
1291846,8723,Driver,unknown,None,"Automobile, Station Wagon",Unknown,0,1,1,0,0,0,0,0,0,0,0,0,0,10,952,Clear,Daylight,-79.4182,43.6498
1291846,8724,Cyclist,30 to 34,Major,Bicycle,Going Ahead,0,1,1,0,0,0,0,0,0,0,0,0,0,10,952,Clear,Daylight,-79.4182,43.6498
1292914,8671,Cyclist,50 to 54,Major,Bicycle,Going Ahead,0,1,1,0,0,0,0,0,0,0,0,0,0,16,1550,Clear,Daylight,-79.4076,43.6564
1292914,8672,Driver,25 to 29,None,"Automobile, Station Wagon",Turning Right,0,1,1,0,0,0,0,0,0,0,0,0,0,16,1550,Clear,Daylight,-79.4076,43.6564
1296801,8659,Driver,40 to 44,Minor,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,1,0,1,1,0,0,6,645,Rain,Daylight,-79.4828,43.6882
1296801,8655,Driver,50 to 54,None,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,1,0,1,1,0,0,6,645,Rain,Daylight,-79.4828,43.6882
1296801,8656,Passenger,55 to 59,Major,NULL,NULL,0,0,1,0,0,0,0,1,0,1,1,0,0,6,645,Rain,Daylight,-79.4828,43.6882
1296801,8657,Driver,45 to 49,Minor,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,1,0,1,1,0,0,6,645,Rain,Daylight,-79.4828,43.6882
1298848,8964,Passenger,20 to 24,Major,Other,NULL,0,0,1,0,0,0,0,1,0,0,0,0,0,1,149,Clear,"Dark, artificial",-79.4635,43.6366
1298848,8965,Driver,20 to 24,Minimal,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,1,0,0,0,0,0,1,149,Clear,"Dark, artificial",-79.4635,43.6366
1299777,8546,Motorcycle Driver,25 to 29,Major,Motorcycle,Going Ahead,0,0,1,1,0,0,0,0,1,1,0,0,0,10,1033,Clear,Daylight,-79.2882,43.8062
1299777,8547,Driver,40 to 44,None,"Automobile, Station Wagon",Turning Left,0,0,1,1,0,0,0,0,1,1,0,0,0,10,1033,Clear,Daylight,-79.2882,43.8062
1300277,8986,Driver,50 to 54,None,"Automobile, Station Wagon",Turning Left,1,0,1,0,0,0,0,0,0,1,0,0,0,16,1644,Clear,Daylight,-79.3015,43.7221
1300277,8987,Pedestrian,70 to 74,Major,Other,NULL,1,0,1,0,0,0,0,0,0,1,0,0,0,16,1644,Clear,Daylight,-79.3015,43.7221
1301842,8590,Passenger,65 to 69,Minimal,Other,NULL,0,0,1,0,0,0,0,1,0,0,0,0,0,21,2100,Clear,"Dusk, artificial",-79.1757,43.7693
1301842,8591,Driver,65 to 69,Minor,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,1,0,0,0,0,0,21,2100,Clear,"Dusk, artificial",-79.1757,43.7693
1301842,8592,Passenger,70 to 74,Major,Other,NULL,0,0,1,0,0,0,0,1,0,0,0,0,0,21,2100,Clear,"Dusk, artificial",-79.1757,43.7693
1301842,8593,Driver,75 to 79,Major,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,1,0,0,0,0,0,21,2100,Clear,"Dusk, artificial",-79.1757,43.7693
1301849,8599,Driver,20 to 24,Major,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,0,1,1,0,0,1,15,1510,Clear,Daylight,-79.3155,43.7027
1302410,8287,Passenger,20 to 24,Minor,Other,NULL,0,0,1,0,0,0,0,1,1,1,0,0,0,22,2212,Clear,"Dark, artificial",-79.2474,43.8232
1302410,8288,Driver,20 to 24,Major,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,1,1,1,0,0,0,22,2212,Clear,"Dark, artificial",-79.2474,43.8232
1302753,8300,Driver,25 to 29,Major,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,0,0,0,0,0,0,3,323,Clear,"Dark, artificial",-79.4909,43.7634
1302903,8301,Passenger,80 to 84,Fatal,Other,NULL,0,0,1,0,0,0,0,1,0,0,0,0,0,9,907,Clear,Daylight,-79.4036,43.6477
1302903,8302,Driver,85 to 89,Minor,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,1,0,0,0,0,0,9,907,Clear,Daylight,-79.4036,43.6477
1304471,8640,Driver,35 to 39,None,"Automobile, Station Wagon",Turning Right,0,1,1,0,0,0,0,0,0,0,0,0,0,19,1905,Clear,Daylight,-79.5253,43.703
1304471,8641,Cyclist,60 to 64,Major,Bicycle,Stopped,0,1,1,0,0,0,0,0,0,0,0,0,0,19,1905,Clear,Daylight,-79.5253,43.703
1304939,8652,Driver,25 to 29,None,"Automobile, Station Wagon",Stopped,0,1,1,0,0,0,0,0,0,0,0,0,0,13,1315,Clear,Daylight,-79.4108,43.6513
1304939,8653,Cyclist,40 to 44,Major,Bicycle,Going Ahead,0,1,1,0,0,0,0,0,0,0,0,0,0,13,1315,Clear,Daylight,-79.4108,43.6513
1305650,8491,Driver,unknown,None,"Automobile, Station Wagon",Going Ahead,0,1,1,0,0,0,0,0,0,1,0,0,0,20,2000,Clear,"Dark, artificial",-79.4505,43.661
1305650,8492,Cyclist,45 to 49,Major,Bicycle,Going Ahead,0,1,1,0,0,0,0,0,0,1,0,0,0,20,2000,Clear,"Dark, artificial",-79.4505,43.661
1306461,8359,Pedestrian,10 to 14,Major,Other,NULL,1,0,1,0,0,0,0,0,0,0,0,0,0,7,740,Clear,Daylight,-79.5643,43.7473
1306461,8360,Driver,30 to 34,None,"Automobile, Station Wagon",Going Ahead,1,0,1,0,0,0,0,0,0,0,0,0,0,7,740,Clear,Daylight,-79.5643,43.7473
1307372,8252,Cyclist,30 to 34,Major,Bicycle,Going Ahead,0,1,1,0,0,0,0,0,0,0,0,0,0,16,1615,Clear,Daylight,-79.4051,43.6569
1307372,8250,Driver,45 to 49,None,"Automobile, Station Wagon",Turning Right,0,1,1,0,0,0,0,0,0,0,0,0,0,16,1615,Clear,Daylight,-79.4051,43.6569
1308358,8291,Motorcycle Driver,35 to 39,Major,Motorcycle,Turning Left,0,0,0,1,0,0,0,0,0,0,0,0,0,10,1000,Clear,Daylight,-79.1661,43.809
1290105,8967,Motorcycle Driver,35 to 39,Fatal,Motorcycle,Going Ahead,0,0,0,1,0,0,0,0,1,1,0,0,0,14,1447,Clear,Daylight,-79.3558,43.6651
