ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,DIVISION,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,POLICE_DIVISION,HOOD_ID,NEIGHBOURHOOD,geometry
1994232,2020,00:00.0,8,0,SHEPPARD AVE E,KENNEDY RD,NULL,1,Scarborough,22,42,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,SMV Other,D42,118,Tam O'Shanter-Sullivan (118),"{'type': 'Point', 'coordinates': (-79.289821, 43.782828)}"
1655498,2020,00:00.0,230,2,67 POTTERY RD,BROADVIEW AVE,339 m West of,NULL,NULL,NULL,NULL,Mid-Block,Non Intersection,No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,SMV Other,D53,56,Leaside-Bennington (56),"{'type': 'Point', 'coordinates': (-79.36343, 43.688583)}"
9001960766,2019,00:00.0,2259,22,THE QUEENSWAY,STOCK AVE,47 m East of,1,Etobicoke York,3,22,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Rear End,D22,14,Islington-City Centre West (14),"{'type': 'Point', 'coordinates': (-79.52484400000002, 43.621298)}"
9002496688,2019,00:00.0,2324,23,2901 JANE  ST,NULL,3 m East of,1,Etobicoke York,7,31,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,D31,25,Glenfield-Jane Heights (25),"{'type': 'Point', 'coordinates': (-79.51665, 43.753241)}"
1995407,2020,00:00.0,744,7,LAWRENCE AVE E,ASTERFIELD DR,10 m West of,NULL,NULL,NULL,NULL,Intersection,Intersection Related,No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Turning Movement,D43,136,West Hill (136),"{'type': 'Point', 'coordinates': (-79.173893, 43.771152)}"
1656894,2020,00:00.0,937,9,BATHURST ST,WOLSELEY ST,8 m East of,1,Toronto and East York,10,14,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,D14,78,Kensington-Chinatown (78),"{'type': 'Point', 'coordinates': (-79.404293, 43.648017)}"
1311242,2020,00:00.0,950,9,YONGE ST,EGLINTON AV W,16 m West of,1,North York,NULL,53,Mid-Block,Non Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,D53,104,Mount Pleasant West (104),"{'type': 'Point', 'coordinates': (-79.398342, 43.706729)}"
450834,2020,00:00.0,1532,15,BLOOR ST W,BRENTWOOD RD S,NULL,1,Etobicoke York,3,22,Intersection,At Intersection,Stop Sign,Rain,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,D22,16,Stonegate-Queensway (16),"{'type': 'Point', 'coordinates': (-79.513545, 43.646804)}"
9002250023,2019,00:00.0,1800,18,EGLINTON AVE W,GUESTVILLE AVE,NULL,1,Etobicoke York,5,12,Intersection,At Intersection,No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,D12,115,Mount Dennis (115),"{'type': 'Point', 'coordinates': (-79.490619, 43.686656)}"
9002500056,2019,00:00.0,1439,14,1325 ST CLAIR AVE W,NULL,NULL,1,Etobicoke York,9,13,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D13,92,Corso Italia-Davenport (92),"{'type': 'Point', 'coordinates': (-79.448985, 43.676577)}"
2019769,2020,00:00.0,1621,16,DUPONT ST,CHRISTIE ST,NULL,1,Toronto and East York,11,14,Intersection,Intersection Related,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,D14,95,Annex (95),"{'type': 'Point', 'coordinates': (-79.421504, 43.671549)}"
9001963574,2019,00:00.0,1100,11,NORTHVIEW AVE,VICTORIA PARK AVE,120 m East of,4,Toronto and East York,20,41,Mid-Block,At/Near Private Drive,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D41,122,Birchcliffe-Cliffside (122),"{'type': 'Point', 'coordinates': (-79.283298, 43.68330600000001)}"
1670162,2020,00:00.0,431,4,DUNDAS ST W,NOTTINGHAM DR,NULL,1,Etobicoke York,2,22,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,SMV Other,D22,15,Kingsway South (15),"{'type': 'Point', 'coordinates': (-79.522228, 43.655867)}"
1331742,2020,00:00.0,218,2,RIVERWOOD PKWY,HUMBER VALLEY RD,44 m West of,NULL,NULL,NULL,NULL,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,D22,16,Stonegate-Queensway (16),"{'type': 'Point', 'coordinates': (-79.490726, 43.640117)}"
382209,2020,00:00.0,707,7,DON MILLS RD,LAWRENCE AVE E,NULL,1,Etobicoke York,16,33,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,D33,42,Banbury-Don Mills (42),"{'type': 'Point', 'coordinates': (-79.34341, 43.737101)}"
2026103,2020,00:00.0,1620,16,BATHURST ST,5988 BATHURST ST,15 m West of,1,North York,NULL,32,NULL,At/Near Private Drive,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D32,36,Newtonbrook West (36),"{'type': 'Point', 'coordinates': (-79.445766, 43.784778)}"
9002500260,2019,00:00.0,1514,15,GERRARD ST W,BAY ST,NULL,1,Toronto and East York,11,52,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,D52,76,Bay Street Corridor (76),"{'type': 'Point', 'coordinates': (-79.384853, 43.658438)}"
1343123,2020,00:00.0,1802,18,LAWRENCE AVE E,MCMILLAN AVE,NULL,3,Scarborough,25,43,Intersection,Intersection Related,No Control,Clear,Daylight,Dry,Fatal,Approaching,D43,136,West Hill (136),"{'type': 'Point', 'coordinates': (-79.165462, 43.77298600000001)}"
